task,depth,n,perturbed_mean,ci_lo,ci_hi,control_mean,excess,n_control
code_review,1,50,0.11135433673858638,0.09878422901034352,0.12441236311197275,0.08791226148605344,0.023442075252532946,5
code_review,2,100,0.09926017761230466,0.08759895868599411,0.11295181834697719,0.07223550081253048,0.027024676799774175,5
code_review,3,150,0.09895765423774716,0.08918481907248492,0.10964803071816757,0.07422430515289305,0.02473334908485411,5
code_review,4,150,0.15169831911722817,0.14293049807349836,0.16067948066194848,0.12623902559280392,0.025459293524424248,5
research_plan,1,50,0.10355898261070248,0.09152513372898098,0.11588118302822108,0.06602611541748041,0.037532867193222075,5
research_plan,2,100,0.1729285991191864,0.163725832208991,0.18258794233202932,0.11001745462417598,0.06291114449501042,5
research_plan,3,145,0.32190840655359726,0.3054025314183071,0.33821375605361215,0.2974714279174805,0.02443697863611677,5
research_plan,4,140,0.18165285417011803,0.17347812314118657,0.189994459514107,0.2184604406356811,-0.036807586465563064,5
summarization,1,50,0.08376264452934262,0.06474625879526134,0.1034894113540649,0.0049369573593139,0.07882568717002872,5
summarization,2,100,0.05795387744903561,0.04398288777470584,0.07370801615715021,0.001966905593872059,0.05598697185516355,5
summarization,3,150,0.07470842917760209,0.062109308997789985,0.08848399616281188,0.03241232633590698,0.04229610284169511,5
summarization,4,150,0.05186228672663367,0.03638305715719854,0.07167990766962365,0.01944731473922728,0.032414971987406394,5
